Kanun Teklifi Sayısı;Genel Görüşme Önergesi Sayısı;İsim;Parti;Soru Önergesi Sayısı;Araştırma Önergesi Sayısı;Genel Kurul Konuşma Sayısı
0;0;Devlet BAHÇELİ;MHP;0;0;1
20;0;Serap YAŞAR;AK Parti;0;8;23
32;0;İsmail TAMER;AK Parti;0;6;22
29;0;Atay USLU;AK Parti;0;5;22
38;0;Utku ÇAKIRÖZER;CHP;137;712;128
16;0;Metin GÜNDOĞDU;AK Parti;0;9;22
13;0;Erol KAVUNCU;AK Parti;0;2;22
6;0;Cemal ENGİNYURT;DP;0;105;89
22;0;Zeynep GÜL YILMAZ;AK Parti;0;7;21
31;4;Ali Fazıl KASAP;CHP;244;541;127
4;0;Ahmet ARSLAN;AK Parti;0;3;21
20;0;Hüseyin ŞANVERDİ;AK Parti;3;5;20
20;1;Özkan YALIM;CHP;188;461;126
68;0;Abdullah Nejat KOÇER;AK Parti;0;5;20
27;0;Ahmet ÇOLAKOĞLU;AK Parti;0;3;20
32;6;Suzan ŞAHİN;CHP;236;511;115
2;0;Mensur IŞIK;BAĞIMSIZ;64;343;24
14;2;Gülüstan KILIÇ KOÇYİĞİT;HDP;255;484;88
3;1;Şevin COŞKUN;HDP;184;688;38
18;4;Cengiz GÖKÇEL;CHP;94;696;113
54;2;Turan AYDOĞAN;CHP;124;250;106
20;0;Halil ÖZŞAVLI;AK Parti;0;1;20
6;1;Metin ERGUN;İYİ Parti;106;296;38
15;0;Ayşe KEŞİR;AK Parti;0;8;20
30;3;Fikret ŞAHİN;CHP;85;438;105
1;0;Zeki Hakan SIDALI;İYİ Parti;114;289;86
32;2;Çetin ARIK;CHP;50;467;103
10;0;Olcay KILAVUZ;MHP;71;135;174
14;6;Ahmet KAYA;CHP;40;728;101
12;3;Rıdvan TURAN;HDP;222;737;100
11;0;Derya BAKBAK;AK Parti;0;2;20
23;0;Yaşar KIRKPINAR;AK Parti;0;3;19
2;0;Baki ŞİMŞEK;MHP;1;175;185
2;0;Fatma KURTULAN;HDP;158;295;166
7;0;Tuma ÇELİK;BAĞIMSIZ;191;317;25
54;0;Mehmet Akif HAMZAÇEBİ;CHP;26;42;98
15;0;Refik ÖZEN;AK Parti;0;7;19
17;1;Ali ÖZTUNÇ;CHP;207;717;97
0;0;Mithat SANCAR;HDP;0;0;52
8;0;Haydar AKAR;CHP;45;278;97
1;1;Pero DUNDAR;HDP;134;641;5
1;1;Ebrü GÜNAY;HDP;132;603;27
30;0;Recep ÖZEL;AK Parti;0;7;18
27;0;Yavuz SUBAŞI;AK Parti;0;5;18
18;0;Uğur AYDEMİR;AK Parti;0;3;18
14;0;İsmail Emrah KARAYEL;AK Parti;0;3;18
13;0;Şamil AYRIM;AK Parti;0;5;18
5;0;Mehmet Doğan KUBAT;AK Parti;0;0;18
3;0;Cevdet YILMAZ;AK Parti;0;1;18
15;0;Erkan AKÇAY;MHP;38;6;419
20;0;Mustafa ADIGÜZEL;CHP;308;120;94
7;5;İsmail Atakan ÜNVER;CHP;106;227;91
29;0;Arife POLAT DÜZGÜN;AK Parti;0;6;17
52;14;Alpay ANTMEN;CHP;702;1156;90
27;0;Nilgün ÖK;AK Parti;0;4;17
5;0;Mehmet Celal FENDOĞLU;MHP;7;187;109
23;0;Muhammet Müfit AYDIN;AK Parti;0;5;17
25;7;Bayram YILMAZKAYA;CHP;113;733;90
20;0;Eyüp ÖZSOY;AK Parti;0;6;17
15;0;Çiğdem ERDOĞAN ATABEK;AK Parti;0;4;17
7;0;Yelda EROL GÖKCAN;AK Parti;0;3;17
7;0;Ahmet TAN;AK Parti;0;2;17
44;0;Mehmet Sait KİRAZOĞLU;AK Parti;0;4;16
31;0;Kemal ÇELİK;AK Parti;0;9;16
2;0;Ahmet ERBAŞ;MHP;23;126;25
26;0;Orhan KIRCALI;AK Parti;0;9;16
20;8;Burhanettin BULUT;CHP;137;800;89
16;0;Mustafa AÇIKGÖZ;AK Parti;0;4;16
4;0;Mahmut Atilla KAYA;AK Parti;0;1;16
3;0;Celalettin GÜVENÇ;AK Parti;0;1;16
29;0;Mustafa KALAYCI;MHP;0;100;40
18;0;Sabahat ÖZGÜRSOY ÇELİK;AK Parti;1;4;15
28;0;Esin KARA;MHP;112;181;46
16;0;İshak GAZEL;AK Parti;1;3;15
23;1;Fahrettin YOKUŞ;İYİ Parti;100;440;151
29;0;Tamer DAĞLI;AK Parti;0;8;15
16;0;Asuman ERDOĞAN;AK Parti;0;6;15
16;9;Servet ÜNSAL;CHP;97;836;88
5;0;Abdulkadir KARADUMAN;SAADET P;368;0;44
17;5;Yüksel ÖZKAN;CHP;92;1135;87
0;0;Saffet SANCAKLI;MHP;0;126;22
34;0;Jülide İSKENDEROĞLU;AK Parti;0;8;14
27;0;Radiye Sezer KATIRCIOĞLU;AK Parti;0;8;14
27;0;Cihan PEKTAŞ;AK Parti;0;9;14
26;0;Burhan ÇAKIR;AK Parti;0;2;14
20;0;Cemal BEKLE;AK Parti;0;3;14
16;0;Ravza KAVAKCI KAN;AK Parti;0;4;14
15;0;Ziver ÖZDEMİR;AK Parti;0;3;14
14;0;Bayram ÖZÇELİK;AK Parti;0;4;14
13;0;Nazım MAVİŞ;AK Parti;0;2;14
30;2;Uğur BAYRAKTUTAN;CHP;704;295;86
32;1;Lütfü TÜRKKAN;İYİ Parti;501;82;451
30;0;Belgin UYGUR;AK Parti;0;5;13
26;0;Fatma AKSAL;AK Parti;0;6;13
15;11;İrfan KAPLAN;CHP;316;888;86
10;2;Ali ŞEKER;CHP;71;809;84
40;0;Halil ÖZTÜRK;MHP;52;106;67
18;0;Hülya NERGİS;AK Parti;0;6;13
29;1;Ömer Faruk GERGERLİOĞLU;HDP;3426;455;133
878;5;Mustafa Sezgin TANRIKULU;CHP;9163;1569;77
11;4;Kani BEKO;CHP;111;371;76
2;0;Mustafa Baki ERSOY;MHP;47;74;28
16;0;Ahmet ÖZDEMİR;AK Parti;0;4;13
15;0;Ziya ALTUNYALDIZ;AK Parti;0;6;13
11;0;Ceyda BÖLÜNMEZ ÇANKIRI;AK Parti;0;5;13
5;0;Zafer SIRAKAYA;AK Parti;0;3;13
2;0;Muhammet BALTA;AK Parti;0;1;13
9;1;Tamer AKKAL;AK Parti;8;35;12
39;0;Fehmi Alpay ÖZALAN;AK Parti;0;7;12
30;7;Ahmet AKIN;CHP;87;713;75
6;0;İsmail ÖZDEMİR;MHP;102;45;41
8;1;Dursun ATAŞ;İYİ Parti;76;369;131
38;0;Mehmet ERDOĞAN;AK Parti;0;4;12
26;0;Ahmet KILIÇ;AK Parti;0;7;12
16;13;Aydın ÖZER;CHP;153;1464;73
20;0;Selman ÖZBOYACI;AK Parti;0;8;12
18;0;Osman Aşkın BAK;AK Parti;0;3;12
15;0;Rümeysa KADAK;AK Parti;0;2;12
5;2;Hüseyin Avni AKSOY;MEMLEKET P;73;436;18
12;0;Cemal TAŞAR;AK Parti;0;5;12
9;0;Selami ALTINOK;AK Parti;0;4;12
22;3;Mehmet GÜZELMANSUR;CHP;146;85;73
8;0;Mustafa Hilmi DÜLGER;AK Parti;0;2;12
78;0;Binali YILDIRIM;AK Parti;0;2;11
33;0;Şirin ÜNAL;AK Parti;0;7;11
19;0;Sefer AYCAN;MHP;177;175;228
