Kanun Teklifi Sayısı;Genel Görüşme Önergesi Sayısı;İsim;Parti;Soru Önergesi Sayısı;Araştırma Önergesi Sayısı;Genel Kurul Konuşma Sayısı
0;0;Mehmet Emin ŞİMŞEK;AK Parti;0;3;4
3;0;Aykut ERDOĞDU;CHP;24;18;22
34;0;Fatma Betül SAYAN KAYA;AK Parti;0;2;3
0;2;Erdal AYDEMİR;HDP;173;379;39
27;0;Mehmet Ali ÖZKAN;AK Parti;0;2;3
27;0;Cemil YAMAN;AK Parti;0;3;3
5;0;Mehmet Ruştu TİRYAKİ;HDP;86;339;151
1;0;Feleknas UCA;HDP;106;332;10
13;0;Necdet İPEKYÜZ;HDP;180;723;129
27;0;Zafer IŞIK;AK Parti;0;6;3
3;0;Ayşe ACAR BAŞARAN;HDP;207;558;53
13;5;Orhan SARIBAL;CHP;70;765;21
17;0;Hacı TURAN;AK Parti;0;4;3
12;0;Mustafa ATAŞ;AK Parti;0;3;3
58;1;İsmail OK;BAĞIMSIZ;124;88;32
11;0;Hacı Osman AKGÜL;AK Parti;0;6;3
4;3;Tufan KÖSE;CHP;14;101;20
10;0;Jülide SARIEROĞLU;AK Parti;0;1;3
10;0;Ergün TAŞCI;AK Parti;0;4;3
10;0;Mustafa KÖSE;AK Parti;0;9;3
7;8;Kemal ZEYBEK;CHP;95;1375;19
7;0;Vedat DEMİRÖZ;AK Parti;0;1;3
7;0;Abdulkadir ÖZEL;AK Parti;0;1;3
10;1;Özcan PURÇU;CHP;39;348;19
16;3;Ednan ARSLAN;CHP;569;177;18
33;0;Ensar AYTEKİN;CHP;156;294;18
4;3;Aziz AYDINLIK;CHP;46;189;17
6;0;Mehmet Şükrü ERDİNÇ;AK Parti;0;2;3
1;1;Aydın Adnan SEZGİN;İYİ Parti;199;310;78
5;0;Taner YILDIZ;AK Parti;0;2;3
4;0;Yalçın AKDOĞAN;AK Parti;0;0;3
0;0;Öztürk YILMAZ;YENİLİK P;2;1;1
3;0;Efkan ALA;AK Parti;0;3;3
1;0;Hakkı KÖYLÜ;AK Parti;0;2;3
29;0;Muharrem ERKEK;CHP;21;128;17
0;0;Nabi AVCI;AK Parti;0;1;3
32;0;Sena Nur ÇELİK;AK Parti;0;1;2
27;0;Murat BAYBATUR;AK Parti;0;2;2
4;4;Tacettin BAYIR;CHP;96;432;16
8;3;Yaşar TÜZÜN;CHP;12;74;15
1;0;Kemal BÜLBÜL;HDP;125;443;116
10;0;Hasan SUBAŞI;İYİ Parti;54;339;104
25;0;Lütfiye Selva ÇAM;AK Parti;0;4;2
34;1;Feridun BAHŞİ;İYİ Parti;139;368;128
11;0;Barış KARADENİZ;CHP;25;75;14
10;7;Polat ŞAROĞLU;CHP;59;528;12
1;0;Abdurrahman BAŞKAN;MHP;0;150;30
13;0;Rizgin BİRLİK;AK Parti;0;2;2
5;4;Seyit TORUN;CHP;23;354;12
13;0;Mehmet Uğur GÖKGÖZ;AK Parti;0;5;2
2;0;Yaşar YILDIRIM;MHP;0;31;6
10;0;Ahmet Sami CEYLAN;AK Parti;0;3;2
5;4;Ahmet Tuncay ÖZKAN;CHP;73;220;9
4;0;Şenol SUNAT;İYİ Parti;63;388;74
4;0;Kemal KILIÇDAROĞLU;CHP;0;0;9
8;0;Ahmet UZER;AK Parti;0;1;2
1;0;Sadir DURMAZ;MHP;3;13;8
7;0;Husret DİNÇ;AK Parti;0;5;2
7;2;Yüksel Mansur KILINÇ;CHP;60;219;7
3;0;Nevin TAŞLIÇAY;MHP;17;106;31
8;0;Mustafa DESTİCİ;BBP;0;0;52
5;0;İbrahim Halil YILDIZ;AK Parti;0;3;2
3;0;Faik ÖZTRAK;CHP;10;21;7
5;0;Mevlüt KARAKAYA;MHP;16;8;21
5;0;Ebubekir BAL;AK Parti;0;2;2
3;0;Fethi AÇIKEL;CHP;9;52;6
1;0;Koray AYDIN;İYİ Parti;9;146;7
1;0;İbrahim Halil ORAL;İYİ Parti;85;394;96
3;0;Hamza DAĞ;AK Parti;0;0;2
5;0;Erdoğan TOPRAK;CHP;2;15;6
45;0;Erkan HABERAL;MHP;1;78;8
24;0;Gürsel TEKİN;CHP;83;79;5
13;1;Filiz KERESTECİOĞLU DEMİR;HDP;188;531;203
3;0;Erkan KANDEMİR;AK Parti;0;0;2
1;0;Bekir BOZDAĞ;AK Parti;0;1;2
1;0;Ahmet Eşref FAKIBABA;AK Parti;0;4;2
3;0;Oğuz Kaan SALICI;CHP;12;3;5
1;0;Kenan SOFUOĞLU;AK Parti;0;1;2
1;0;Hayati YAZICI;AK Parti;0;1;2
1;0;Akif Çağatay KILIÇ;AK Parti;0;2;2
0;0;Muhammed AVCI;AK Parti;0;1;2
4;0;Durmuş YILMAZ;İYİ Parti;2;188;44
14;0;Kadri Enis BERBEROĞLU;CHP;0;30;5
4;0;İlhan KESİCİ;CHP;0;38;4
13;0;Fatih ŞAHİN;AK Parti;0;3;1
4;0;Ahmet Haluk KOÇ;CHP;0;120;4
2;1;Ayhan ALTINTAŞ;İYİ Parti;10;439;130
3;0;Ramazan KAŞLI;MHP;4;169;33
11;0;Harun KARACAN;AK Parti;0;1;1
7;0;Mehmet ALTAY;AK Parti;0;2;1
5;0;Ali İhsan YAVUZ;AK Parti;0;0;1
3;0;Barış AYDIN;AK Parti;0;1;1
2;0;Aziz BABUŞCU;AK Parti;0;1;1
6;0;Mehmet TAYTAK;MHP;5;78;37
10;1;Ayhan EREL;İYİ Parti;66;423;261
2;0;Yıldırım Tuğrul TÜRKEŞ;AK Parti;0;0;1
0;0;Berdan ÖZTÜRK;HDP;19;424;3
0;0;Gültekin UYSAL;DP;10;0;20
1;0;Alev DEDEGİL;AK Parti;0;1;1
1;0;Ali İhsan ARSLAN;AK Parti;0;1;1
1;0;İlknur İNCEÖZ;AK Parti;0;1;1
0;0;Mehmet ÖZHASEKİ;AK Parti;0;0;1
5;0;Dirayet Dilan TAŞDEMİR;HDP;159;520;67
23;2;Abdullah KOÇ;HDP;212;432;121
2;0;Deniz BAYKAL;CHP;0;0;1
